Ridge Penalty,10 - fold R2 Score
100.0,0.5607373270070226
50.0,0.5607392416863147
10.0,0.5607402007681991
5.0,0.5607402779176718
1.0,0.5607403321210089
0.5,0.5607403384178061
0.1,0.560740343377925
0.01,0.5607403444844612
0.001,0.560740344594923
