Ridge Penalty,10 - fold R2 Score
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
0.001,0.7682475207885726
